name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,country,rating_category,rating_with_category,movie_summary
One Hundred and One Dalmatians,1961,G,1h 19min,Animation; Adventure; Comedy;,25 January 1961,7.2,148001,138,https://www.imdb.com/title/tt0055254/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.2 (Medium),One Hundred and One Dalmatians (1961) - Rating: 7.2
Antz,1998,PG,1h 23min,Animation; Adventure; Comedy;,2 October 1998,6.5,143835,307,https://www.imdb.com/title/tt0120587/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.5 (Medium),Antz (1998) - Rating: 6.5
Castle in the Sky,1986,PG,2h 5min,Animation; Adventure; Drama;,2 August 1986,8.0,143574,231,https://www.imdb.com/title/tt0092067/reviews/_ajax?ref_=undefined&paginationKey=,Japan,High,8.0 (High),Castle in the Sky (1986) - Rating: 8.0
Monsters vs. Aliens,2009,PG,1h 34min,Animation; Action; Adventure;,27 March 2009,6.4,143391,211,https://www.imdb.com/title/tt0892782/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.4 (Medium),Monsters vs. Aliens (2009) - Rating: 6.4
Nausicaä of the Valley of the Wind,1984,PG,1h 57min,Animation; Adventure; Fantasy;,25 November 1987,8.1,142815,236,https://www.imdb.com/title/tt0087544/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Nausicaä of the Valley of the Wind (1984) - Rating: 8.1
Cinderella,1950,G,1h 14min,Animation; Fantasy;,4 March 1950,7.3,141190,154,https://www.imdb.com/title/tt0042332/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Cinderella (1950) - Rating: 7.3
Puss in Boots,2011,PG,1h 30min,Animation; Adventure; Comedy;,28 October 2011,6.6,140720,154,https://www.imdb.com/title/tt0448694/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.6 (Medium),Puss in Boots (2011) - Rating: 6.6
Schindler's List,1993,R,3h 15min,Biography; Drama; History;,4 February 1994,8.9,1173324,1814,https://www.imdb.com/title/tt0108052/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.9 (High),Schindler's List (1993) - Rating: 8.9
The Wolf of Wall Street,2013,R,3h,Biography; Crime; Drama;,25 December 2013,8.2,1128148,1436,https://www.imdb.com/title/tt0993846/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),The Wolf of Wall Street (2013) - Rating: 8.2
Goodfellas,1990,R,2h 26min,Biography; Crime; Drama;,21 September 1990,8.7,982784,1296,https://www.imdb.com/title/tt0099685/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.7 (High),Goodfellas (1990) - Rating: 8.7
Braveheart,1995,R,2h 58min,Biography; Drama; History;,24 May 1995,8.3,936728,1271,https://www.imdb.com/title/tt0112573/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.3 (High),Braveheart (1995) - Rating: 8.3
A Beautiful Mind,2001,PG-13,2h 15min,Biography; Drama;,4 January 2002,8.2,821709,1292,https://www.imdb.com/title/tt0268978/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),A Beautiful Mind (2001) - Rating: 8.2
Catch Me If You Can,2002,PG-13,2h 21min,Biography; Crime; Drama;,25 December 2002,8.1,790873,828,https://www.imdb.com/title/tt0264464/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Catch Me If You Can (2002) - Rating: 8.1
The Intouchables,2011,R,1h 52min,Biography; Comedy; Drama;,13 July 2012,8.5,731145,622,https://www.imdb.com/title/tt1675434/reviews/_ajax?ref_=undefined&paginationKey=,India,High,8.5 (High),The Intouchables (2011) - Rating: 8.5
The Pianist,2002,R,2h 30min,Biography; Drama; Music;,28 March 2003,8.5,701576,924,https://www.imdb.com/title/tt0253474/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.5 (High),The Pianist (2002) - Rating: 8.5
The Imitation Game,2014,PG-13,1h 54min,Biography; Drama; Thriller;,25 December 2014,8.0,662291,825,https://www.imdb.com/title/tt2084970/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),The Imitation Game (2014) - Rating: 8.0
The King's Speech,2010,R,1h 58min,Biography; Drama; History;,25 December 2010,8.0,624817,754,https://www.imdb.com/title/tt1504320/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),The King's Speech (2010) - Rating: 8.0
12 Years a Slave,2013,R,2h 14min,Biography; Drama; History;,8 November 2013,8.1,619715,869,https://www.imdb.com/title/tt2024544/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),12 Years a Slave (2013) - Rating: 8.1
The Social Network,2010,PG-13,2h,Biography; Drama;,1 October 2010,7.7,604248,869,https://www.imdb.com/title/tt1285016/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),The Social Network (2010) - Rating: 7.7
Argo,2012,R,2h,Biography; Drama; Thriller;,12 October 2012,7.7,560352,789,https://www.imdb.com/title/tt1024648/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),Argo (2012) - Rating: 7.7
The Pursuit of Happyness,2006,PG-13,1h 57min,Biography; Drama;,15 December 2006,8.0,433708,769,https://www.imdb.com/title/tt0454921/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),The Pursuit of Happyness (2006) - Rating: 8.0
Bohemian Rhapsody,2018,PG-13,2h 14min,Biography; Drama; Music;,2 November 2018,8.0,428335,3356,https://www.imdb.com/title/tt1727824/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Bohemian Rhapsody (2018) - Rating: 8.0
Dallas Buyers Club,2013,R,1h 57min,Biography; Drama;,22 November 2013,8.0,427034,408,https://www.imdb.com/title/tt0790636/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Dallas Buyers Club (2013) - Rating: 8.0
American Sniper,2014,R,2h 13min,Action; Biography; Drama;,16 January 2015,7.3,426309,1036,https://www.imdb.com/title/tt2179136/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),American Sniper (2014) - Rating: 7.3
Rush,2013,R,2h 3min,Biography; Drama; Sport;,27 September 2013,8.1,419377,564,https://www.imdb.com/title/tt1979320/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Rush (2013) - Rating: 8.1
Hacksaw Ridge,2016,R,2h 19min,Biography; Drama; History;,4 November 2016,8.1,412911,893,https://www.imdb.com/title/tt2119532/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Hacksaw Ridge (2016) - Rating: 8.1
Captain Phillips,2013,PG-13,2h 14min,Biography; Crime; Drama;,11 October 2013,7.8,409137,623,https://www.imdb.com/title/tt1535109/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Captain Phillips (2013) - Rating: 7.8
Spotlight,2015,R,2h 9min,Biography; Crime; Drama;,20 November 2015,8.1,401931,601,https://www.imdb.com/title/tt1895587/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Spotlight (2015) - Rating: 8.1
The Theory of Everything,2014,PG-13,2h 3min,Biography; Drama; Romance;,26 November 2014,7.7,387358,500,https://www.imdb.com/title/tt2980516/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),The Theory of Everything (2014) - Rating: 7.7
American Gangster,2007,R,2h 37min,Biography; Crime; Drama;,2 November 2007,7.8,381835,495,https://www.imdb.com/title/tt0765429/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),American Gangster (2007) - Rating: 7.8
Amadeus,1984,R,2h 40min,Biography; Drama; History;,19 September 1984,8.3,358503,634,https://www.imdb.com/title/tt0086879/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.3 (High),Amadeus (1984) - Rating: 8.3
Moneyball,2011,PG-13,2h 13min,Biography; Drama; Sport;,23 September 2011,7.6,350546,409,https://www.imdb.com/title/tt1210166/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.6 (Medium),Moneyball (2011) - Rating: 7.6
The Big Short,2015,R,2h 10min,Biography; Comedy; Drama;,23 December 2015,7.8,344612,535,https://www.imdb.com/title/tt1596363/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),The Big Short (2015) - Rating: 7.8
127 Hours,2010,R,1h 34min,Biography; Drama;,28 January 2011,7.6,340395,481,https://www.imdb.com/title/tt1542344/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.6 (Medium),127 Hours (2010) - Rating: 7.6
Green Book,2018,PG-13,2h 10min,Biography; Comedy; Drama;,16 November 2018,8.2,332263,1453,https://www.imdb.com/title/tt6966692/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),Green Book (2018) - Rating: 8.2
The Fighter,2010,R,1h 56min,Biography; Drama; Sport;,17 December 2010,7.8,332120,443,https://www.imdb.com/title/tt0964517/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),The Fighter (2010) - Rating: 7.8
Hotel Rwanda,2004,PG-13,2h 1min,Biography; Drama; History;,4 February 2005,8.1,327493,669,https://www.imdb.com/title/tt0395169/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Hotel Rwanda (2004) - Rating: 8.1
The Aviator,2004,PG-13,2h 50min,Biography; Drama;,25 December 2004,7.5,325104,838,https://www.imdb.com/title/tt0338751/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),The Aviator (2004) - Rating: 7.5
Downfall,2004,R,2h 36min,Biography; Drama; History;,8 April 2005,8.2,322655,633,https://www.imdb.com/title/tt0363163/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),Downfall (2004) - Rating: 8.2
Raging Bull,1980,R,2h 9min,Biography; Drama; Sport;,19 December 1980,8.2,311225,583,https://www.imdb.com/title/tt0081398/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),Raging Bull (1980) - Rating: 8.2
The Irishman,2019,R,3h 29min,Biography; Crime; Drama;,27 November 2019,7.9,297140,2676,https://www.imdb.com/title/tt1302006/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.9 (Medium),The Irishman (2019) - Rating: 7.9
The Blind Side,2009,PG-13,2h 9min,Biography; Drama; Sport;,20 November 2009,7.6,283748,507,https://www.imdb.com/title/tt0878804/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.6 (Medium),The Blind Side (2009) - Rating: 7.6
Public Enemies,2009,R,2h 20min,Biography; Crime; Drama;,1 July 2009,7.0,275842,639,https://www.imdb.com/title/tt1152836/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.0 (Medium),Public Enemies (2009) - Rating: 7.0
Donnie Brasco,1997,R,2h 7min,Biography; Crime; Drama;,28 February 1997,7.7,269135,283,https://www.imdb.com/title/tt0119008/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),Donnie Brasco (1997) - Rating: 7.7
Lone Survivor,2013,R,2h 1min,Action; Biography; Drama;,10 January 2014,7.5,260009,491,https://www.imdb.com/title/tt1091191/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),Lone Survivor (2013) - Rating: 7.5
Lawrence of Arabia,1962,Approved,3h 48min,Adventure; Biography; Drama;,11 December 1962,8.3,259310,666,https://www.imdb.com/title/tt0056172/reviews/_ajax?ref_=undefined&paginationKey=,UK,High,8.3 (High),Lawrence of Arabia (1962) - Rating: 8.3
Lincoln,2012,PG-13,2h 30min,Biography; Drama; History;,16 November 2012,7.3,239112,794,https://www.imdb.com/title/tt0443272/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Lincoln (2012) - Rating: 7.3
Blow,2001,R,2h 4min,Biography; Crime; Drama;,6 April 2001,7.6,235138,454,https://www.imdb.com/title/tt0221027/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.6 (Medium),Blow (2001) - Rating: 7.6
Changeling,2008,R,2h 21min,Biography; Crime; Drama;,31 October 2008,7.7,232041,432,https://www.imdb.com/title/tt0824747/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),Changeling (2008) - Rating: 7.7
Ford v Ferrari,2019,PG-13,2h 32min,Action; Biography; Drama;,15 November 2019,8.1,232004,1265,https://www.imdb.com/title/tt1950186/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Ford v Ferrari (2019) - Rating: 8.1
Dog Day Afternoon,1975,R,2h 5min,Biography; Crime; Drama;,25 December 1975,8.0,229265,321,https://www.imdb.com/title/tt0072890/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Dog Day Afternoon (1975) - Rating: 8.0
Walk the Line,2005,PG-13,2h 16min,Biography; Drama; Music;,18 November 2005,7.8,227982,897,https://www.imdb.com/title/tt0358273/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Walk the Line (2005) - Rating: 7.8
Sully,2016,PG-13,1h 36min,Biography; Drama;,9 September 2016,7.4,226801,477,https://www.imdb.com/title/tt3263904/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.4 (Medium),Sully (2016) - Rating: 7.4
The Greatest Showman,2017,PG,1h 45min,Biography; Drama;,20 December 2017,7.6,222573,1796,https://www.imdb.com/title/tt1485796/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.6 (Medium),The Greatest Showman (2017) - Rating: 7.6
Gandhi,1982,PG,3h 11min,Biography; Drama; History;,25 February 1983,8.0,214287,298,https://www.imdb.com/title/tt0083987/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Gandhi (1982) - Rating: 8.0
The Elephant Man,1980,PG,2h 4min,Biography; Drama;,10 October 1980,8.1,212720,416,https://www.imdb.com/title/tt0080678/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),The Elephant Man (1980) - Rating: 8.1
Ip Man,2008,R,1h 46min,Action; Biography; Drama;,12 December 2008,8.0,206556,210,https://www.imdb.com/title/tt1220719/reviews/_ajax?ref_=undefined&paginationKey=,China,High,8.0 (High),Ip Man (2008) - Rating: 8.0
Lion,2016,PG-13,1h 58min,Biography; Drama;,6 January 2017,8.0,204274,546,https://www.imdb.com/title/tt3741834/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Lion (2016) - Rating: 8.0
BlacKkKlansman,2018,R,2h 15min,Biography; Crime; Drama;,10 August 2018,7.5,199225,841,https://www.imdb.com/title/tt7349662/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),BlacKkKlansman (2018) - Rating: 7.5
Butch Cassidy and the Sundance Kid,1969,PG,1h 50min,Biography; Crime; Drama;,24 September 1969,8.0,198267,425,https://www.imdb.com/title/tt0064115/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Butch Cassidy and the Sundance Kid (1969) - Rating: 8.0
The Sound of Music,1965,G,2h 52min,Biography; Drama;,1 April 1965,8.0,197238,482,https://www.imdb.com/title/tt0059742/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),The Sound of Music (1965) - Rating: 8.0
Finding Neverland,2004,PG,1h 46min,Biography; Drama;,17 December 2004,7.7,195635,656,https://www.imdb.com/title/tt0308644/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),Finding Neverland (2004) - Rating: 7.7
Remember the Titans,2000,PG,1h 53min,Biography; Drama; Sport;,29 September 2000,7.8,193009,452,https://www.imdb.com/title/tt0210945/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Remember the Titans (2000) - Rating: 7.8
Everest,2015,PG-13,2h 1min,Action; Adventure; Biography;,25 September 2015,7.1,191623,335,https://www.imdb.com/title/tt2719848/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.1 (Medium),Everest (2015) - Rating: 7.1
Hidden Figures,2016,PG,2h 7min,Biography; Drama; History;,6 January 2017,7.8,191159,500,https://www.imdb.com/title/tt4846340/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Hidden Figures (2016) - Rating: 7.8
Straight Outta Compton,2015,R,2h 27min,Biography; Drama; History;,14 August 2015,7.9,174973,385,https://www.imdb.com/title/tt1398426/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.9 (Medium),Straight Outta Compton (2015) - Rating: 7.9
Cinderella Man,2005,PG-13,2h 24min,Biography; Drama; History;,3 June 2005,8.0,172730,595,https://www.imdb.com/title/tt0352248/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Cinderella Man (2005) - Rating: 8.0
Jarhead,2005,R,2h 5min,Action; Biography; Drama;,4 November 2005,7.0,172053,695,https://www.imdb.com/title/tt0418763/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.0 (Medium),Jarhead (2005) - Rating: 7.0
The Last King of Scotland,2006,R,2h 3min,Biography; Drama; History;,19 January 2007,7.7,172012,371,https://www.imdb.com/title/tt0455590/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),The Last King of Scotland (2006) - Rating: 7.7
"I, Tonya",2017,R,1h 59min,Biography; Comedy; Drama;,19 January 2018,7.5,170713,472,https://www.imdb.com/title/tt5580036/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),"I, Tonya (2017) - Rating: 7.5"
War Dogs,2016,R,1h 54min,Biography; Comedy; Crime;,19 August 2016,7.1,170314,215,https://www.imdb.com/title/tt2005151/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.1 (Medium),War Dogs (2016) - Rating: 7.1
Erin Brockovich,2000,R,2h 11min,Biography; Drama;,17 March 2000,7.3,169430,525,https://www.imdb.com/title/tt0195685/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Erin Brockovich (2000) - Rating: 7.3
The Assassination of Jesse James by the Coward Robert Ford,2007,R,2h 40min,Biography; Crime; Drama;,19 October 2007,7.5,164772,466,https://www.imdb.com/title/tt0443680/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),The Assassination of Jesse James by the Coward Robert Ford (2007) - Rating: 7.5
Black Mass,2015,R,2h 3min,Biography; Crime; Drama;,18 September 2015,6.9,163703,335,https://www.imdb.com/title/tt1355683/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.9 (Medium),Black Mass (2015) - Rating: 6.9
Darkest Hour,2017,PG-13,2h 5min,Biography; Drama;,22 December 2017,7.4,163237,629,https://www.imdb.com/title/tt4555426/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.4 (Medium),Darkest Hour (2017) - Rating: 7.4
Ed Wood,1994,R,2h 7min,Biography; Comedy; Drama;,7 October 1994,7.8,162359,460,https://www.imdb.com/title/tt0109707/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Ed Wood (1994) - Rating: 7.8
Milk,2008,R,2h 8min,Biography; Drama;,30 January 2009,7.5,161721,310,https://www.imdb.com/title/tt1013753/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),Milk (2008) - Rating: 7.5
The Favourite,2018,R,1h 59min,Biography; Comedy; Drama;,21 December 2018,7.5,160787,1196,https://www.imdb.com/title/tt5083738/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),The Favourite (2018) - Rating: 7.5
Alexander,2004,R,2h 55min,Action; Biography; Drama;,24 November 2004,5.6,159847,1430,https://www.imdb.com/title/tt0346491/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,5.6 (Medium),Alexander (2004) - Rating: 5.6
"Girl, Interrupted",1999,R,2h 7min,Biography; Drama;,14 January 2000,7.3,159130,418,https://www.imdb.com/title/tt0172493/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),"Girl, Interrupted (1999) - Rating: 7.3"
The Danish Girl,2015,R,1h 59min,Biography; Drama; Romance;,22 January 2016,7.1,158324,289,https://www.imdb.com/title/tt0810819/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.1 (Medium),The Danish Girl (2015) - Rating: 7.1
The Insider,1999,R,2h 37min,Biography; Drama; Thriller;,5 November 1999,7.8,156188,546,https://www.imdb.com/title/tt0140352/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),The Insider (1999) - Rating: 7.8
First Man,2018,PG-13,2h 21min,Biography; Drama; History;,12 October 2018,7.3,155735,1305,https://www.imdb.com/title/tt1213641/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),First Man (2018) - Rating: 7.3
Legend,2015,R,2h 12min,Biography; Crime; Drama;,20 November 2015,6.9,152203,266,https://www.imdb.com/title/tt3569230/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.9 (Medium),Legend (2015) - Rating: 6.9
American Made,2017,R,1h 55min,Action; Biography; Comedy;,29 September 2017,7.2,151699,332,https://www.imdb.com/title/tt3532216/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.2 (Medium),American Made (2017) - Rating: 7.2
In the Name of the Father,1993,R,2h 13min,Biography; Drama;,25 February 1994,8.1,151362,184,https://www.imdb.com/title/tt0107207/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),In the Name of the Father (1993) - Rating: 8.1
Steve Jobs,2015,R,2h 2min,Biography; Drama;,23 October 2015,7.2,149109,409,https://www.imdb.com/title/tt2080374/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.2 (Medium),Steve Jobs (2015) - Rating: 7.2
Saving Mr. Banks,2013,PG-13,2h 5min,Biography; Comedy; Drama;,20 December 2013,7.5,148154,354,https://www.imdb.com/title/tt2140373/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.5 (Medium),Saving Mr. Banks (2013) - Rating: 7.5
Invictus,2009,PG-13,2h 14min,Biography; Drama; History;,11 December 2009,7.3,146805,277,https://www.imdb.com/title/tt1057500/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Invictus (2009) - Rating: 7.3
Dangal,2016,Not Rated,2h 41min,Action; Biography; Drama;,21 December 2016,8.4,144657,385,https://www.imdb.com/title/tt5074352/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.4 (High),Dangal (2016) - Rating: 8.4
Unbroken,2014,PG-13,2h 17min,Biography; Drama; Sport;,25 December 2014,7.2,141388,429,https://www.imdb.com/title/tt1809398/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.2 (Medium),Unbroken (2014) - Rating: 7.2
Ray,2004,PG-13,2h 32min,Biography; Drama; Music;,29 October 2004,7.7,135305,460,https://www.imdb.com/title/tt0350258/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),Ray (2004) - Rating: 7.7
Monster,2003,R,1h 49min,Biography; Crime; Drama;,30 January 2004,7.3,131859,568,https://www.imdb.com/title/tt0340855/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Monster (2003) - Rating: 7.3
Foxcatcher,2014,R,2h 14min,Biography; Drama; Sport;,16 January 2015,7.0,131687,335,https://www.imdb.com/title/tt1100089/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.0 (Medium),Foxcatcher (2014) - Rating: 7.0
The Disaster Artist,2017,R,1h 44min,Biography; Comedy; Drama;,8 December 2017,7.4,131444,395,https://www.imdb.com/title/tt3521126/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.4 (Medium),The Disaster Artist (2017) - Rating: 7.4
Molly's Game,2017,R,2h 20min,Biography; Crime; Drama;,5 January 2018,7.4,130955,356,https://www.imdb.com/title/tt4209788/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.4 (Medium),Molly's Game (2017) - Rating: 7.4
Snowden,2016,R,2h 14min,Biography; Crime; Drama;,16 September 2016,7.3,130626,240,https://www.imdb.com/title/tt3774114/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Snowden (2016) - Rating: 7.3
Joy,2015,PG-13,2h 4min,Biography; Drama;,25 December 2015,6.6,124767,328,https://www.imdb.com/title/tt2446980/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.6 (Medium),Joy (2015) - Rating: 6.6
Seven Years in Tibet,1997,PG-13,2h 16min,Adventure; Biography; Drama;,10 October 1997,7.1,123376,147,https://www.imdb.com/title/tt0120102/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.1 (Medium),Seven Years in Tibet (1997) - Rating: 7.1
"Good Morning, Vietnam",1987,R,2h 1min,Biography; Comedy; Drama;,15 January 1988,7.3,122643,155,https://www.imdb.com/title/tt0093105/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),"Good Morning, Vietnam (1987) - Rating: 7.3"
Capote,2005,R,1h 54min,Biography; Crime; Drama;,3 February 2006,7.3,122624,448,https://www.imdb.com/title/tt0379725/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Capote (2005) - Rating: 7.3
Coach Carter,2005,PG-13,2h 16min,Biography; Drama; Sport;,14 January 2005,7.3,122245,237,https://www.imdb.com/title/tt0393162/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Coach Carter (2005) - Rating: 7.3
Tombstone,1993,R,2h 10min,Action; Biography; Drama;,25 December 1993,7.8,122041,502,https://www.imdb.com/title/tt0108358/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.8 (Medium),Tombstone (1993) - Rating: 7.8
Man on the Moon,1999,R,1h 58min,Biography; Comedy; Drama;,22 December 1999,7.4,121652,572,https://www.imdb.com/title/tt0125664/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.4 (Medium),Man on the Moon (1999) - Rating: 7.4
Spartacus,1960,PG-13,3h 17min,Adventure; Biography; Drama;,17 November 1960,7.9,120924,319,https://www.imdb.com/title/tt0054331/reviews/_ajax?ref_=undefined&paginationKey=,Brazil,Medium,7.9 (Medium),Spartacus (1960) - Rating: 7.9
Rocketman,2019,R,2h 1min,Biography; Drama; Music;,31 May 2019,7.3,120434,944,https://www.imdb.com/title/tt2066051/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.3 (Medium),Rocketman (2019) - Rating: 7.3
Guardians of the Galaxy,2014,PG-13,2h 1min,Comedy;,1 August 2014,8.0,1017578,1390,https://www.imdb.com/title/tt2015381/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.0 (High),Guardians of the Galaxy (2014) - Rating: 8.0
Back to the Future,1985,PG,1h 56min,Comedy;,3 July 1985,8.5,1015437,1178,https://www.imdb.com/title/tt0088763/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.5 (High),Back to the Future (1985) - Rating: 8.5
Finding Nemo,2003,G,1h 40min,Comedy;,30 May 2003,8.1,922237,968,https://www.imdb.com/title/tt0266543/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),Finding Nemo (2003) - Rating: 8.1
Up,2009,PG,1h 36min,Comedy;,29 May 2009,8.2,905205,891,https://www.imdb.com/title/tt1049413/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.2 (High),Up (2009) - Rating: 8.2
The Truman Show,1998,PG,1h 43min,Comedy;,5 June 1998,8.1,901368,1152,https://www.imdb.com/title/tt0120382/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.1 (High),The Truman Show (1998) - Rating: 8.1
